timestamp,action,confidence,accuracy,f1,precision,recall,cpu,dram,time
1695571254.0762794,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3117667.0,144409.0,85596.725
1695571255.0623481,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3175285.0,145385.0,86727.505
1695571256.082686,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3241446.0,149047.0,88499.393
1695571257.0774016,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3132133.0,145690.0,85533.132
1695571258.0891316,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3307852.0,150085.0,88651.357
1695571259.0937397,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3169914.0,144714.0,86930.156
1695571260.1372383,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3251029.0,146851.0,88462.096
1695571261.1124952,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3194694.0,146606.0,86865.207
1695571262.1165473,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3168205.0,146850.0,89232.116
1695571263.1145258,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3114799.0,146118.0,86243.422
1695571264.1219578,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3191093.0,146972.0,85903.283
1695571265.150583,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3307487.0,150695.0,89666.223
1695571266.145345,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3222770.0,147400.0,86505.173
1695571267.150529,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3177604.0,146362.0,86390.377
1695571268.164308,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3226066.0,146179.0,87824.435
1695571269.1772106,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3179130.0,145630.0,85495.716
1695571270.162879,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3177421.0,145203.0,86133.533
1695571271.1742866,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3135551.0,145019.0,85915.08
1695571272.1822603,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3168815.0,144531.0,86708.444
1695571273.1867292,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3233574.0,147522.0,86620.796
1695571274.2043912,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3295402.0,149413.0,87262.07
1695571275.2003055,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3154228.0,144653.0,86461.812
1695571276.2078314,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3277824.0,148010.0,86650.253
1695571277.2174985,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3208121.0,147095.0,86719.796
1695571278.2287421,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3200736.0,146606.0,86456.834
1695571279.2345405,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3645499.0,164368.0,90929.573
1695571280.2465627,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3251213.0,149780.0,88019.994
1695571281.2817757,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3251335.0,148681.0,89550.937
1695571282.2677834,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3296867.0,149841.0,88072.984
1695571283.2609842,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3113273.0,145081.0,85350.533
1695571284.2682488,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3215629.0,146728.0,88578.491
1695571285.2738893,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3251396.0,148498.0,86809.442
1695571286.2841067,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3363944.0,152526.0,93478.585
1695571561.5595057,retraining,-1,0.5063868613138686,0.0036832412523020255,1.0,0.0018450184501845018,9087745046.0,620993649.0,255917458.69
1695571587.463299,inference,"[[0.520158413980184, 0.4798415860198159]]",0.0,0.0,0.0,0.0,3545035.0,166626.0,113028.398
1695571588.4371216,inference,"[[0.520158413980184, 0.4798415860198159]]",1.0,0.0,0.0,0.0,3487784.0,154907.0,97483.634
1695571589.4133606,inference,"[[0.520158413980184, 0.4798415860198159]]",1.0,0.0,0.0,0.0,3372306.0,153442.0,90244.632
1695571590.4182541,inference,"[[0.520158413980184, 0.4798415860198159]]",0.0,0.0,0.0,0.0,3194938.0,148743.0,88375.462
1695571591.4545147,inference,"[[0.520158413980184, 0.4798415860198159]]",1.0,0.0,0.0,0.0,3229484.0,149535.0,88953.253
1695571592.4606156,inference,"[[0.520158413980184, 0.4798415860198159]]",1.0,0.0,0.0,0.0,3341544.0,153075.0,91984.372
1695571593.4406898,inference,"[[0.520158413980184, 0.4798415860198159]]",1.0,0.0,0.0,0.0,3273734.0,151550.0,89825.05
1695571594.4547055,inference,"[[0.520158413980184, 0.4798415860198159]]",0.0,0.0,0.0,0.0,3248405.0,150268.0,89803.386
1695571595.4731672,inference,"[[0.520158413980184, 0.4798415860198159]]",1.0,0.0,0.0,0.0,3385855.0,157471.0,89770.954
1695571596.4574535,inference,"[[0.520158413980184, 0.4798415860198159]]",0.0,0.0,0.0,0.0,3255545.0,150146.0,88717.012
